  20
  1     1.05571 0.009498 0
  2     1.00780 0.011803 0
  3     1.00074 0.010928 0
  4     0.95774 0.010395 0
  5     1.04624 0.008624 0
  6     1.00737 0.008624 0
  7     1.04490 0.008232 0
  8     1.02191 0.011465 0
  9     0.96747 0.010404 0
 10     0.96428 0.010832 0
 11     0.98351 0.008082 0
 12     1.04113 0.011880 0
 13     1.02817 0.011330 0
 14     1.04001 0.008849 0
 15     1.01263 0.008727 0
 16     0.98602 0.008734 0
 17     1.01793 0.009217 0
 18     1.02413 0.010099 0
 19     0.97907 0.009728 0
 20     1.00754 0.009165 0
   0
   7
  1     6.69108 0.021119 0
  2     1.29503 0.017921 0
  5     0.02798 0.019561 0
  6     3.33067 0.016997 0
  7    -0.53286 0.020924 0
 12     1.09753 0.021075 0
 14     0.98964 0.015651 0
   7
  1     4.94659 0.016395 0
  2     1.79153 0.018664 0
  5     0.32765 0.022852 0
  6     2.26133 0.020142 0
  7    -0.10636 0.015465 0
 12     1.06219 0.016705 0
 14     1.66023 0.024489 0
  25
   1   2     0.39443 0.024656 0
   1   3     2.81958 0.018046 0
   2   4     0.77820 0.021842 0
   1   5     0.67437 0.016220 0
   3   6    -1.21083 0.015344 0
   5   7     0.21333 0.017588 0
   1   8     2.35497 0.018117 0
   6   9     0.00606 0.020467 0
   5  10     0.45647 0.024696 0
   6  11     1.72628 0.024395 0
   6  12     0.33233 0.020979 0
   9  13     0.45413 0.015885 0
   7  14    -0.43580 0.015452 0
  14  15    -0.21570 0.018887 0
  12  16     1.40758 0.023287 0
  14  17    -0.05723 0.017809 0
   7  18     0.10233 0.016409 0
   6  19     0.48315 0.015746 0
  18  20    -0.49313 0.022722 0
  17  18     0.99706 0.015055 0
   4  16     0.47400 0.022069 0
   2   3     0.52949 0.022713 0
   1   6     0.46153 0.018585 0
   2   8     0.40266 0.023631 0
  14  20     0.79289 0.018309 0
  25
   1   2     0.19378 0.023084 0
   1   3     3.82760 0.015977 0
   2   4     1.30575 0.019402 0
   1   5     0.60169 0.019952 0
   3   6     0.04533 0.024093 0
   5   7    -0.02562 0.021625 0
   1   8     0.12136 0.020201 0
   6   9     2.47507 0.016849 0
   5  10     0.84979 0.022751 0
   6  11     0.16610 0.023948 0
   6  12    -0.72689 0.024219 0
   9  13    -0.70989 0.016960 0
   7  14    -0.00700 0.018253 0
  14  15     0.41076 0.017713 0
  12  16     0.28640 0.018568 0
  14  17     0.18284 0.020427 0
   7  18    -0.01518 0.023022 0
   6  19     0.34854 0.024869 0
  18  20     0.32762 0.016987 0
  17  18    -0.46608 0.023155 0
   4  16    -0.14219 0.022290 0
   2   3     0.09749 0.015740 0
   1   6     0.17295 0.016159 0
   2   8     0.60033 0.021233 0
  14  20     1.07307 0.015636 0
   0
   0
   0
