t_sec,kind,file,mode,style,factor,type,loc1,loc2,sigma,clean_value,bad_value,error,error_sigmas,pos
0.000,pmu,pmu/pmu_t00000_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.27775,-36.776490644625994,-38.05424064462599,-89120.00150966273,28
0.000,scada,scada/scada_t00000_00.dat,persistent,scale,-23.6925784790755,Qflow,14,17,0.020427,0.20147,-4.773343786179341,-4.9748137861793404,-243.54108709939493,74
0.000,scada,scada/scada_t00000_00.dat,transient,negate,-1.0,Qinj,6,,0.020142,2.22721,-2.22721,-4.45442,-221.1508291132956,30
1.000,pmu,pmu/pmu_t00001_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.29641,-37.31356700183885,-38.60997700183885,-90421.49180758512,28
1.000,pmu,pmu/pmu_t00001_00.dat,transient,scale,15.119459249480705,Vmag,8,,0.000183,1.00893,15.25447602057857,14.245546020578571,77844.5137736534,2
2.000,pmu,pmu/pmu_t00002_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.31173,-37.75451072062239,-39.06624072062239,-91490.025106844,28
3.000,pmu,pmu/pmu_t00003_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.33037,-38.29101143329375,-39.62138143329375,-92790.12045267856,28
4.000,pmu,pmu/pmu_t00004_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.35353,-38.957607812342495,-40.311137812342494,-94405.47497035713,28
5.000,pmu,pmu/pmu_t00005_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.36589,-39.31335613898509,-40.67924613898509,-95267.55536062083,28
5.000,pmu,pmu/pmu_t00005_00.dat,transient,scale,-28.78912170124212,Imag,20,18,0.000457,0.58584,-16.865819057455685,-17.451659057455686,-38187.43776248509,24
5.000,scada,scada/scada_t00005_00.dat,persistent,scale,-23.6925784790755,Qflow,14,17,0.020427,0.20265,-4.80130102878465,-5.00395102878465,-244.9674954121824,74
5.000,scada,scada/scada_t00005_00.dat,transient,scale,19.777387871789067,Pflow,1,8,0.018117,2.52519,49.94166207996303,47.41647207996303,2617.236412207486,40
6.000,pmu,pmu/pmu_t00006_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.3772,-39.638883127199314,-41.016083127199316,-96056.40076627475,28
6.000,pmu,pmu/pmu_t00006_00.dat,transient,negate,-1.0,Imag,14,15,0.000353,0.46459,-0.46459,-0.92918,-2632.237960339943,22
7.000,pmu,pmu/pmu_t00007_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.39709,-40.21136162371398,-41.608451623713975,-97443.68061759713,28
8.000,pmu,pmu/pmu_t00008_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.41172,-40.63244560581602,-42.04416560581602,-98464.08806982674,28
9.000,pmu,pmu/pmu_t00009_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.41725,-40.79161132153879,-42.20886132153879,-98849.79232210488,28
10.000,pmu,pmu/pmu_t00010_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.42797,-41.10015679577897,-42.528126795778974,-99597.48664116855,28
10.000,scada,scada/scada_t00010_00.dat,persistent,scale,-23.6925784790755,Qflow,14,17,0.020427,0.20774,-4.921896253243145,-5.129636253243145,-251.12039228683335,74
11.000,pmu,pmu/pmu_t00011_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.43112,-41.1908208110641,-42.6219408110641,-99817.19159499789,28
11.000,pmu,pmu/pmu_t00011_00.dat,transient,negate,-1.0,Imag,14,7,0.000472,0.46507,-0.46507,-0.93014,-1970.635593220339,21
12.000,pmu,pmu/pmu_t00012_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.43298,-41.24435575342294,-42.67733575342294,-99946.92213916378,28
12.000,pmu,pmu/pmu_t00012_00.dat,transient,negate,-1.0,Vang,14,,0.000134,-0.08995,0.08995,0.1799,1342.5373134328358,11
13.000,pmu,pmu/pmu_t00013_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.43786,-41.384813021547195,-42.822673021547196,-100287.29044858828,28
14.000,pmu,pmu/pmu_t00014_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.4302,-41.16434116215543,-42.59454116215543,-99753.02379895885,28
14.000,pmu,pmu/pmu_t00014_00.dat,transient,negate,-1.0,Imag,5,7,0.000463,0.23629,-0.23629,-0.47258,-1020.6911447084234,17
15.000,pmu,pmu/pmu_t00015_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.42266,-40.947323170012616,-42.36998317001262,-99227.12686185625,28
15.000,scada,scada/scada_t00015_00.dat,persistent,scale,-23.6925784790755,Qflow,14,17,0.020427,0.20241,-4.795614809949672,-4.998024809949673,-244.6773784672087,74
16.000,pmu,pmu/pmu_t00016_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.42019,-40.87623106913825,-42.29642106913825,-99054.85027901229,28
17.000,pmu,pmu/pmu_t00017_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.41351,-40.68396579227963,-42.09747579227963,-98588.93628168531,28
18.000,pmu,pmu/pmu_t00018_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.41231,-40.649427119790055,-42.06173711979005,-98505.23915641698,28
19.000,pmu,pmu/pmu_t00019_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.40383,-40.40535383419707,-41.80918383419707,-97913.77947118752,28
20.000,pmu,pmu/pmu_t00020_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.39044,-40.01995981366759,-41.41039981366759,-96979.85904840184,28
20.000,scada,scada/scada_t00020_00.dat,persistent,scale,-23.6925784790755,Qflow,14,17,0.020427,0.18902,-4.478371184114851,-4.667391184114851,-228.49127057888336,74
21.000,pmu,pmu/pmu_t00021_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.39156,-40.05219590799119,-41.44375590799119,-97057.97636531894,28
22.000,pmu,pmu/pmu_t00022_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.38057,-39.735879232440865,-41.116449232440864,-96291.45019306993,28
23.000,pmu,pmu/pmu_t00023_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.37154,-39.47597572195683,-40.84751572195683,-95661.62932542583,28
24.000,pmu,pmu/pmu_t00024_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.35245,-38.92652300710188,-40.278973007101875,-94330.14755761562,28
25.000,pmu,pmu/pmu_t00025_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.33664,-38.47147599705177,-39.80811599705177,-93227.43793220555,28
25.000,pmu,pmu/pmu_t00025_00.dat,transient,scale,11.714776809715064,Imag,2,1,0.00011,0.40616,4.75807374903387,4.35191374903387,39562.852263944274,14
25.000,scada,scada/scada_t00025_00.dat,persistent,scale,-23.6925784790755,Qflow,14,17,0.020427,0.24631,-5.835719005181087,-6.082029005181087,-297.7446029853178,74
26.000,pmu,pmu/pmu_t00026_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.32478,-38.13011878394649,-39.45489878394649,-92400.23134413698,28
26.000,pmu,pmu/pmu_t00026_00.dat,transient,scale,17.65276147881901,Iang,2,4,0.000355,-1.09617,-19.350427550237036,-18.254257550237035,-51420.4438034846,30
27.000,pmu,pmu/pmu_t00027_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.3059,-37.586710336777216,-38.89261033677722,-91083.39657324874,28
27.000,pmu,pmu/pmu_t00027_00.dat,transient,scale,28.836263717864565,Vmag,8,,0.000183,1.00868,29.08656248693563,28.07788248693563,153431.0518411783,2
28.000,pmu,pmu/pmu_t00028_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.29355,-37.23124983240537,-38.52479983240537,-90222.01365902896,28
29.000,pmu,pmu/pmu_t00029_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.27587,-36.722380057725665,-37.99825005772566,-88988.87601340904,28
30.000,pmu,pmu/pmu_t00030_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.26109,-36.296978741562434,-37.55806874156244,-87958.00642052092,28
30.000,pmu,pmu/pmu_t00030_00.dat,transient,scale,-29.55448602443768,Vang,5,,0.000146,-0.08783,2.5957705075263617,2.6836005075263616,18380.825394016174,8
30.000,scada,scada/scada_t00030_00.dat,persistent,scale,-23.6925784790755,Qflow,14,17,0.020427,0.19418,-4.60062488906688,-4.794804889066881,-234.7287848958183,74
30.000,scada,scada/scada_t00030_00.dat,transient,scale,13.584865209129646,Vmag,17,,0.009217,1.01892,13.84189085888638,12.82297085888638,1391.230428435107,16
31.000,pmu,pmu/pmu_t00031_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.24399,-35.80480265858602,-37.04879265858602,-86765.32238544735,28
32.000,pmu,pmu/pmu_t00032_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.23779,-35.62635285072323,-36.864142850723226,-86332.88723822769,28
33.000,pmu,pmu/pmu_t00033_00.dat,persistent,scale,-28.782227074643707,Imag,14,20,0.000427,1.22275,-35.19346815552059,-36.41621815552059,-85283.8832681981,28
