   7
  2     1.03000 0.000085 0
  5     1.04186 0.000142 0
  8     1.01935 0.000174 0
 11     0.98984 0.000154 0
 14     1.04308 0.000066 0
 17     1.01848 0.000074 0
 20     1.00248 0.000132 0
   7
  2    -0.04145 0.000066 0
  5    -0.07750 0.000087 0
  8    -0.11008 0.000120 0
 11    -0.13374 0.000103 0
 14    -0.06711 0.000095 0
 17    -0.05198 0.000085 0
 20    -0.06131 0.000103 0
   0
   0
   0
   0
  15
   2   1     0.35412 0.000398 0
   2   4     1.29506 0.000408 0
   5   1     0.75810 0.000311 0
   5   7     0.17300 0.000498 0
   8   1     1.93305 0.000266 0
   5  10     0.78402 0.000303 0
  11   6     1.46067 0.000290 0
  14   7     0.37187 0.000233 0
  14  15     0.37354 0.000390 0
  14  17     0.15368 0.000346 0
  20  18    -0.47582 0.000153 0
  17  18     0.96270 0.000439 0
   2   3     0.40972 0.000307 0
   2   8     0.61987 0.000411 0
  14  20     1.12078 0.000376 0
  15
   2   1     2.50553 0.000359 0
   2   4    -1.08690 0.000416 0
   5   1     2.33601 0.000203 0
   5   7    -0.08904 0.000143 0
   8   1    -3.18340 0.000162 0
   5  10    -1.14527 0.000423 0
  11   6    -3.27400 0.000274 0
  14   7    -0.11880 0.000131 0
  14  15    -2.11124 0.000401 0
  14  17    -1.97480 0.000461 0
  20  18     0.44339 0.000180 0
  17  18     0.37809 0.000364 0
   2   3    -0.04944 0.000409 0
   2   8    -1.06219 0.000322 0
  14  20    24.25791 0.000200 0
   0
