channel_id,group,type,loc1,loc2,sigma
0,scada,Vmag,1,,9.498160e-03
1,scada,Vmag,2,,1.180286e-02
2,scada,Vmag,3,,1.092798e-02
3,scada,Vmag,4,,1.039463e-02
4,scada,Vmag,5,,8.624075e-03
5,scada,Vmag,6,,8.623978e-03
6,scada,Vmag,7,,8.232334e-03
7,scada,Vmag,8,,1.146470e-02
8,scada,Vmag,9,,1.040446e-02
9,scada,Vmag,10,,1.083229e-02
10,scada,Vmag,11,,8.082338e-03
11,scada,Vmag,12,,1.187964e-02
12,scada,Vmag,13,,1.132977e-02
13,scada,Vmag,14,,8.849356e-03
14,scada,Vmag,15,,8.727300e-03
15,scada,Vmag,16,,8.733618e-03
16,scada,Vmag,17,,9.216969e-03
17,scada,Vmag,18,,1.009903e-02
18,scada,Vmag,19,,9.727780e-03
19,scada,Vmag,20,,9.164917e-03
20,scada,Vmag,21,,1.044741e-02
21,scada,Vmag,22,,8.557975e-03
22,scada,Vmag,23,,9.168579e-03
23,scada,Vmag,24,,9.465447e-03
24,scada,Vmag,25,,9.824280e-03
25,scada,Vmag,26,,1.114070e-02
26,scada,Vmag,27,,8.798695e-03
27,scada,Vmag,28,,1.005694e-02
28,scada,Vmag,29,,1.036966e-02
29,scada,Vmag,30,,8.185802e-03
30,scada,Vmag,31,,1.043018e-02
31,scada,Vmag,32,,8.682096e-03
32,scada,Vmag,33,,8.260206e-03
33,scada,Vmag,34,,1.179554e-02
34,scada,Vmag,35,,1.186253e-02
35,scada,Vmag,36,,1.123359e-02
36,scada,Vmag,37,,9.218455e-03
37,scada,Vmag,38,,8.390688e-03
38,scada,Vmag,39,,1.073693e-02
39,scada,Vmag,40,,9.760610e-03
40,scada,Pinj,1,,1.622038e-02
41,scada,Qinj,1,,1.995177e-02
42,scada,Pinj,6,,1.534389e-02
43,scada,Qinj,6,,2.409320e-02
44,scada,Pinj,11,,1.758780e-02
45,scada,Qinj,11,,2.162522e-02
46,scada,Pinj,12,,1.811711e-02
47,scada,Qinj,12,,2.020068e-02
48,scada,Pinj,15,,2.046710e-02
49,scada,Qinj,15,,1.684854e-02
50,scada,Pinj,21,,2.469585e-02
51,scada,Qinj,21,,2.275133e-02
52,scada,Pinj,30,,2.439499e-02
53,scada,Qinj,30,,2.394827e-02
54,scada,Pinj,31,,2.097900e-02
55,scada,Qinj,31,,2.421874e-02
56,scada,Pinj,33,,1.588493e-02
57,scada,Qinj,33,,1.695983e-02
58,scada,Pinj,35,,1.545227e-02
59,scada,Qinj,35,,1.825330e-02
60,scada,Pinj,38,,1.888677e-02
61,scada,Qinj,38,,1.771349e-02
62,scada,Pflow,1,2,2.328738e-02
63,scada,Qflow,1,2,1.856753e-02
64,scada,Pflow,2,3,1.780935e-02
65,scada,Qflow,2,3,2.042696e-02
66,scada,Pflow,2,4,1.640924e-02
67,scada,Qflow,2,4,2.302197e-02
68,scada,Pflow,2,5,1.574551e-02
69,scada,Qflow,2,5,2.486887e-02
70,scada,Pflow,5,6,2.272245e-02
71,scada,Qflow,5,6,1.698716e-02
72,scada,Pflow,5,7,1.505522e-02
73,scada,Qflow,5,7,2.315461e-02
74,scada,Pflow,4,8,2.206857e-02
75,scada,Qflow,4,8,2.229007e-02
76,scada,Pflow,8,9,2.271270e-02
77,scada,Qflow,8,9,1.574045e-02
78,scada,Pflow,1,10,1.858466e-02
79,scada,Qflow,1,10,1.615869e-02
80,scada,Pflow,3,11,2.363103e-02
81,scada,Qflow,3,11,2.123298e-02
82,scada,Pflow,1,12,1.830898e-02
83,scada,Qflow,1,12,1.563558e-02
