   7
  2     1.03014 0.000097 0
  5     1.04188 0.000159 0
  8     1.00066 0.000183 0
 11     0.97611 0.000068 0
 14     1.04299 0.000164 0
 17     1.00871 0.000166 0
 20     0.99124 0.000128 0
   7
  2    -0.05491 0.000099 0
  5    -0.10093 0.000146 0
  8    -0.14229 0.000121 0
 11    -0.18103 0.000157 0
 14    -0.08956 0.000134 0
 17    -0.06966 0.000124 0
 20    -0.08261 0.000114 0
   0
   0
   0
   0
  15
   2   1     0.43035 0.000110 0
   2   4     1.64948 0.000113 0
   5   1     0.88341 0.000226 0
   5   7     0.23522 0.000463 0
   8   1     2.51566 0.000264 0
   5  10     1.05069 0.000192 0
  11   6     1.88792 0.000216 0
  14   7    -0.46507 0.000472 0
  14  15     0.48299 0.000353 0
  14  17     0.21393 0.000421 0
  20  18     0.61503 0.000457 0
  17  18     1.23673 0.000423 0
   2   3     0.56936 0.000227 0
   2   8     0.74100 0.000191 0
  14  20   -41.19082 0.000427 0
  15
   2   1     2.63034 0.000143 0
   2   4    -1.10256 0.000355 0
   5   1     2.45368 0.000303 0
   5   7    -0.06324 0.000200 0
   8   1    -3.24131 0.000402 0
   5  10    -1.19464 0.000131 0
  11   6     2.95851 0.000164 0
  14   7    -0.11502 0.000423 0
  14  15    -2.12103 0.000449 0
  14  17    -1.96153 0.000175 0
  20  18     0.44944 0.000316 0
  17  18     0.35466 0.000458 0
   2   3    -0.32412 0.000144 0
   2   8    -1.04983 0.000271 0
  14  20    -1.00891 0.000444 0
   0
